village,female,water,irrigation
GP1_village2,1,10,0
GP1_village1,1,0,5
GP2_village2,1,2,2
GP2_village1,1,31,4
GP3_village2,0,0,0
GP3_village1,0,0,0
GP4_village2,0,7,4
GP4_village1,0,12,0
GP5_village2,0,28,0
GP5_village1,0,0,0
GP6_village2,0,23,0
GP6_village1,0,12,4
GP7_village2,0,0,0
GP7_village1,0,0,0
GP8_village2,1,41,4
GP8_village1,1,23,5
GP9_village2,0,0,0
GP9_village1,0,0,1
GP10_village2,0,12,9
GP10_village1,0,59,52
GP11_village2,0,70,20
GP11_village1,0,7,5
GP12_village2,0,2,0
GP12_village1,0,3,0
GP13_village2,0,23,32
GP13_village1,0,0,0
GP14_village2,1,1,0
GP14_village1,1,1,0
GP15_village2,1,0,2
GP15_village1,1,0,12
GP16_village2,0,5,0
GP16_village1,0,6,0
GP17_village2,0,10,1
GP17_village1,0,3,0
GP18_village2,1,7,1
GP18_village1,1,10,0
GP19_village2,0,41,0
GP19_village1,0,76,0
GP20_village2,1,0,0
GP20_village1,1,123,21
GP21_village2,0,1,1
GP21_village1,0,7,0
GP22_village2,0,0,0
GP22_village1,0,0,0
GP23_village2,0,2,0
GP23_village1,0,18,0
GP24_village2,0,18,7
GP24_village1,0,16,0
GP25_village2,1,340,21
GP25_village1,1,6,15
GP26_village2,0,5,5
GP26_village1,0,0,5
GP27_village2,1,309,40
GP27_village1,1,4,0
GP28_village2,0,5,0
GP28_village1,0,8,0
GP29_village2,0,9,0
GP29_village1,0,0,3
GP30_village2,1,31,7
GP30_village1,1,200,0
GP31_village2,0,20,0
GP31_village1,0,12,0
GP32_village2,0,28,0
GP32_village1,0,41,5
GP33_village2,0,0,0
GP33_village1,0,0,1
GP34_village2,1,10,0
GP34_village1,1,5,0
GP35_village2,0,2,0
GP35_village1,0,4,15
GP36_village2,0,59,3
GP36_village1,0,19,0
GP37_village2,1,8,0
GP37_village1,1,1,0
GP38_village2,0,10,0
GP38_village1,0,4,0
GP39_village2,0,16,0
GP39_village1,0,2,0
GP40_village2,0,5,0
GP40_village1,0,3,0
GP41_village2,0,10,0
GP41_village1,0,3,0
GP42_village2,0,9,0
GP42_village1,0,6,0
GP43_village2,1,1,0
GP43_village1,1,7,7
GP44_village2,1,25,2
GP44_village1,1,0,0
GP45_village2,0,11,0
GP45_village1,0,0,0
GP46_village2,1,13,1
GP46_village1,1,4,0
GP47_village2,0,17,0
GP47_village1,0,17,0
GP48_village2,1,5,0
GP48_village1,1,8,0
GP49_village2,1,78,10
GP49_village1,1,19,0
GP50_village2,0,2,0
GP50_village1,0,41,7
GP51_village2,1,0,6
GP51_village1,1,3,0
GP52_village2,0,8,0
GP52_village1,0,5,0
GP53_village2,0,21,0
GP53_village1,0,6,0
GP54_village2,0,26,15
GP54_village1,0,9,2
GP55_village2,0,8,10
GP55_village1,0,3,0
GP56_village2,0,0,0
GP56_village1,0,1,0
GP57_village2,1,9,0
GP57_village1,1,10,0
GP58_village2,0,11,0
GP58_village1,0,12,0
GP59_village2,1,0,0
GP59_village1,1,5,0
GP60_village2,0,24,0
GP60_village1,0,24,0
GP61_village2,0,0,0
GP61_village1,0,10,0
GP62_village2,1,0,0
GP62_village1,1,144,0
GP63_village2,1,2,0
GP63_village1,1,5,0
GP64_village2,0,6,0
GP64_village1,0,1,0
GP65_village2,1,43,0
GP65_village1,1,9,0
GP66_village2,1,38,0
GP66_village1,1,25,5
GP67_village2,0,11,0
GP67_village1,0,15,0
GP68_village2,0,0,0
GP68_village1,0,9,0
GP69_village2,0,30,0
GP69_village1,0,2,0
GP70_village2,1,98,0
GP70_village1,1,44,0
GP71_village2,0,1,0
GP71_village1,0,5,0
GP72_village2,1,2,0
GP72_village1,1,4,0
GP73_village2,0,10,0
GP73_village1,0,14,0
GP74_village2,0,0,0
GP74_village1,0,0,0
GP75_village2,0,3,0
GP75_village1,0,23,13
GP76_village2,0,1,0
GP76_village1,0,10,0
GP77_village2,0,5,0
GP77_village1,0,9,0
GP78_village2,1,6,0
GP78_village1,1,2,0
GP79_village2,0,0,0
GP79_village1,0,6,5
GP80_village2,1,8,0
GP80_village1,1,7,0
GP81_village2,0,0,0
GP81_village1,0,4,3
GP82_village2,0,11,3
GP82_village1,0,17,0
GP83_village2,1,0,0
GP83_village1,1,13,6
GP84_village2,0,9,1
GP84_village1,0,5,0
GP85_village2,0,0,0
GP85_village1,0,4,0
GP86_village2,0,12,0
GP86_village1,0,13,1
GP87_village2,0,4,0
GP87_village1,0,28,0
GP88_village2,0,1,1
GP88_village1,0,13,1
GP89_village2,0,8,0
GP89_village1,0,0,0
GP90_village2,1,3,0
GP90_village1,1,6,2
GP91_village2,1,3,0
GP91_village1,1,16,0
GP92_village2,0,54,0
GP92_village1,0,2,15
GP93_village2,0,8,0
GP93_village1,0,23,0
GP94_village2,0,9,1
GP94_village1,0,12,0
GP95_village2,1,11,0
GP95_village1,1,5,1
GP96_village2,0,16,0
GP96_village1,0,2,0
GP97_village2,1,9,0
GP97_village1,1,15,12
GP98_village2,1,12,0
GP98_village1,1,8,2
GP99_village2,0,13,6
GP99_village1,0,7,1
GP100_village2,1,2,5
GP100_village1,1,7,0
GP101_village2,0,20,2
GP101_village1,0,3,0
GP102_village2,1,60,1
GP102_village1,1,6,0
GP103_village2,0,3,0
GP103_village1,0,3,0
GP104_village2,0,22,0
GP104_village1,0,7,9
GP105_village2,0,13,0
GP105_village1,0,22,0
GP106_village2,0,8,1
GP106_village1,0,14,0
GP107_village2,0,2,1
GP107_village1,0,24,0
GP108_village2,0,13,0
GP108_village1,0,21,0
GP109_village2,1,5,0
GP109_village1,1,8,0
GP110_village2,0,24,0
GP110_village1,0,7,0
GP111_village2,1,18,0
GP111_village1,1,29,0
GP112_village2,0,26,0
GP112_village1,0,10,0
GP113_village2,0,40,16
GP113_village1,0,10,8
GP114_village2,1,7,14
GP114_village1,1,16,2
GP115_village2,1,7,0
GP115_village1,1,5,0
GP116_village2,0,12,10
GP116_village1,0,4,0
GP117_village2,0,20,0
GP117_village1,0,9,0
GP118_village2,1,71,2
GP118_village1,1,5,0
GP119_village2,0,4,18
GP119_village1,0,17,2
GP120_village2,0,47,47
GP120_village1,0,9,15
GP121_village2,0,25,0
GP121_village1,0,62,0
GP122_village2,0,58,8
GP122_village1,0,6,0
GP123_village2,1,5,0
GP123_village1,1,15,0
GP124_village2,0,8,4
GP124_village1,0,12,0
GP125_village2,1,32,0
GP125_village1,1,17,0
GP126_village2,0,10,2
GP126_village1,0,4,8
GP127_village2,0,3,0
GP127_village1,0,3,0
GP128_village2,1,16,2
GP128_village1,1,3,15
GP129_village2,1,86,5
GP129_village1,1,11,24
GP130_village2,1,21,0
GP130_village1,1,5,0
GP131_village2,0,54,90
GP131_village1,0,8,34
GP132_village2,0,19,0
GP132_village1,0,4,0
GP133_village2,0,77,8
GP133_village1,0,44,0
GP134_village2,1,4,1
GP134_village1,1,4,6
GP135_village2,1,26,0
GP135_village1,1,10,0
GP136_village2,0,21,0
GP136_village1,0,46,20
GP137_village2,0,30,6
GP137_village1,0,20,0
GP138_village2,0,10,3
GP138_village1,0,2,2
GP139_village2,0,90,5
GP139_village1,0,155,83
GP140_village2,0,23,1
GP140_village1,0,8,0
GP141_village2,1,20,9
GP141_village1,1,22,4
GP142_village2,0,25,2
GP142_village1,0,20,0
GP143_village2,1,21,3
GP143_village1,1,59,32
GP144_village2,0,8,3
GP144_village1,0,1,0
GP145_village2,0,25,0
GP145_village1,0,4,0
GP146_village2,0,7,0
GP146_village1,0,40,0
GP147_village2,1,7,2
GP147_village1,1,0,0
GP148_village2,0,19,0
GP148_village1,0,3,2
GP149_village2,0,40,0
GP149_village1,0,2,0
GP150_village2,1,17,1
GP150_village1,1,9,0
GP151_village2,0,7,4
GP151_village1,0,42,1
GP152_village2,0,1,0
GP152_village1,0,3,1
GP153_village2,0,3,0
GP153_village1,0,66,0
GP154_village2,0,6,0
GP154_village1,0,35,30
GP155_village2,0,51,3
GP155_village1,0,13,10
GP156_village2,0,7,0
GP156_village1,0,16,0
GP157_village2,0,20,0
GP157_village1,0,21,0
GP158_village2,0,3,0
GP158_village1,0,4,8
GP159_village2,1,11,0
GP159_village1,1,29,0
GP160_village2,1,2,0
GP160_village1,1,5,5
GP161_village2,0,2,0
GP161_village1,0,11,0