year,country,leadername,died,politybefore,polityafter
1929,Afghanistan,Habibullah Ghazi,0,-6,-6
1933,Afghanistan,Nadir Shah,1,-6,-7.333333333
1934,Afghanistan,Hashim Khan,0,-6,-8
1924,Albania,Zogu,0,0,-9
1931,Albania,Zogu,0,-9,-9
1968,Algeria,Boumedienne,0,-9,-9
1992,Algeria,Boudiaf,1,-2,-5.666666667
1908,Argentina,Alcorta,0,1,1
1916,Argentina,de la Plaza,0,2,2
1929,Argentina,Irigoyen,0,2,-8
1976,Argentina,Videla,0,6,-9
1977,Argentina,Videla,0,1,-9
1916,Australia,Hughes,0,10,10
1975,Australia,Fraser,0,10,10
1920,Austria,Renner,0,0,8
1924,Austria,Seipel,0,8,8
1933,Austria,Dollfuss,0,8,-9
1934,Austria,Dollfuss,1,5,-9
1902,Belgium,Paul de Smet de Nayer,0,6,6
1965,Bhutan,"Wangchuk, Jigme Dorji",0,-8,-8
1945,Bolivia,Villarroel,0,-5,-5
1946,Bolivia,Gutierrez,0,-5,-5
1964,Bolivia,Barrientos Ortuna,0,-3,-4
1965,Bolivia,Barrientos Ortuna,0,-3.333333333,-4
1897,Brazil,de Moraes Barros,0,-3,-3
1994,Burundi,Ntarymira,1,-3.333333333,-3.333333333
1915,Bulgaria,Ferdinand I,0,-9,-5.333333333
1925,Bulgaria,Boris III,0,-3,-3
1943,Bulgaria,Boris III,1,-10,-4
1959,Cambodia,Sihanouk,0,-9,-9
1973,Cambodia,Lon Nol,0,-6,-4
1998,Cambodia,Hun Sen,0,-1.666666667,2
1995,Canada,Chretien,0,10,10
2000,Ivory Coast,Guei,0,-4.333333333,1.333333333
1976,Chad,Malloum,0,-8.333333333,-3.333333333
1899,Chile,F. Errazuriz Echaurren,0,3,3
1929,Chile,Ibanez Campo,0,-2,-2
1930,Chile,Ibanez del Campo,0,-2,-2
1986,Chile,Pinochet,0,-6,0.333333333
1910,China,Zaifeng,0,-6,-0.666666667
1929,China,Chiang Kai-shek,0,-5,-5
1931,China,Chiang Kai-shek,0,-5,-5
1961,China,Mao Tse-Tung,0,-8,-8
1906,Colombia,Reyes Prieto,0,-3.333333333,-5
1977,Congo Brazzaville,Ngouabi,1,-7,-7.666666667
1944,Costa Rica,Picado Michalski,0,10,10
1931,Cuba,Machado Morales,0,1,2.333333333
1934,Cuba,Mendieta,0,1.666666667,3
1970,Cyprus,Makarios,0,4.666666667,7
1954,Czechoslovakia,Zapotocky,0,-7,-7
1899,Dominican Rep,Heureaux,1,-3,-3
1911,Dominican Rep,Caceres,1,-3,-3
1961,Dominican Rep,Rafel Trujillo,1,-9,2.666666667
2001,Congo Kinshasa,Laurent Kabila,1,0,0
1886,Ecuador,Caamano,0,-1,-1
1949,Ecuador,Plaza Lasso,0,0,2
1938,Egypt,Farouk,0,1,1
1939,Egypt,Farouk,0,1,1
1974,Egypt,Sadat,0,-7,-6.333333333
1981,Egypt,Sadat,1,-6,-6
1995,Egypt,Mubarak,0,-6,-6
1999,Egypt,Mubarak,0,-6,-6
1978,Ethiopia,Mengistu Marriam,0,-7,-7
1910,France,Briand,0,8,8
1911,France,Briand,0,8,8
1919,France,Clemenceau,0,8,9
1924,France,Herriot,0,9,9
1932,France,Herriot,0,9.666666667,10
1943,France,Laval,0,-9,3.666666667
1961,France,De Gaulle,0,5,5
1962,France,De Gaulle,0,5,5
1964,France,De Gaulle,0,5,5
1965,France,De Gaulle,0,5,5
1963,Ghana,Nkurmah,0,-8.333333333,-8.333333333
1964,Ghana,Nkurmah,0,-8.666666667,-7.666666667
1878,Germany,Wilhelm I,0,-4,-4
1939,Germany,Hitler,0,-9,-9
1898,Greece,George I,0,10,10
1913,Greece,George I,1,10,5.5
1926,Greece,Pangalos,0,-3.666666667,10
1968,Greece,Papadopoulos,0,0.333333333,-7
1995,Georgia,Shevardnadze,0,4,5
1998,Georgia,Shevardnadze,0,5,5
1884,Guatemala,Justo Rufino Barrios,0,2,2
1886,Guatemala,Barillas,0,2,2
1898,Guatemala,Reina Barrios,1,-1.333333333,-5.333333333
1907,Guatemala,Estrada-Cabrera,0,-9,-9
1908,Guatemala,Estrada-Cabrera,0,-9,-9
1957,Guatemala,Castillo Armas,1,-6,-5
1996,Guatemala,Arzu Yrigoyen,0,3,8
1980,Guinea,Toure,0,-9,-9
1892,Haiti,Hippolyte,0,-3,-3
1912,Haiti,Leconte,1,-3,-3
1947,Honduras,Carias Andino,0,-3,-3
1955,India,Nehru,0,9,9
1980,India,"Gandhi, I.",0,8,8
1984,India,"Gandhi, I.",1,8,8
1986,India,"Gandhi, R.",0,8,8
1957,Indonesia,Sukarno,0,0,-3.666666667
1962,Indonesia,Sukarno,0,-5,-5
1896,Iran,Nasir Ad-Din,1,-10,-10
1896,Iran,Muzaffar ad-Din,0,-10,-10
1900,Iran,Muzaffar ad-Din,0,-10,-10
1908,Iran,Mohammed Ali Shah,0,-3.333333333,0
1949,Iran,Mohammad Reza,0,-1,-1
1967,Iran,Mohammad Reza,0,-10,-10
1959,Iraq,Karrim Kassem,0,-4.333333333,-5
1982,Iraq,Saddam Hussein,0,-9,-9
1957,Israel,Ben Gurion,0,10,10
1995,Israel,Rabin,1,9,9
1923,Italy,Mussolini,0,-1.333333333,-5.666666667
1924,Italy,Mussolini,0,-2,-7
1925,Italy,Mussolini,0,-3,-8
1926,Italy,Mussolini,0,-4.333333333,-8.666666667
1928,Italy,Mussolini,0,-7,-9
1932,Italy,Mussolini,0,-9,-9
1949,Jordan,Abdullah Al-Hussein,0,-10,-5
1951,Jordan,Abdullah Al-Hussein,1,-10,-1
1960,Jordan,Hussein Ibn Talal El-Hashim,0,-9,-9
1970,Jordan,Hussein Ibn Talal El-Hashim,0,-9,-9
1972,Jordan,Hussein Ibn Talal El-Hashim,0,-9,-9.666666667
1916,Japan,Okuma,0,1,1
1920,Japan,"Hara, T.",0,1,1
1921,Japan,"Hara, T.",1,1,1
1925,Japan,"Kato, Takaaki",0,1,1
1928,Japan,"Tanaka, G.",0,1,1
1929,Japan,Hamaguchi,0,1,1
1930,Japan,Hamaguchi,0,1,1
1932,Japan,Inukai,1,1,1
1960,Japan,Kishi,0,10,10
1963,Japan,Ikeda,0,10,10
1978,Japan,Ohira,0,10,10
1972,Kenya,Kenyatta,0,-7,-7
1985,Kuwait,Jabir As-Sabah,0,-8,-10
1955,Liberia,Tubman,0,-6,-6
1956,Lebanon,Chamoun,0,2,2
1978,Libya,Qaddafi,0,-7,-7
1981,Libya,Qaddafi,0,-7,-7
1984,Libya,Qaddafi,0,-7,-7
1975,Madagascar,Ratsimandrava,1,-3,-6
1890,Mexico,Diaz,0,-9,-9
1897,Mexico,Diaz,0,-9,-9
1920,Mexico,Carranza,1,-1,-1
1921,Mexico,Obregon,0,-1,-1.666666667
1925,Mexico,Calles,0,-1.666666667,-3
1927,Mexico,Calles,0,-3,-4
1929,Mexico,Portes Gil,0,-3,-6
1930,Mexico,Ortiz Rubio,0,-3,-6
1935,Mexico,Cardenas,0,-6,-6
1944,Mexico,Avila Camacho,0,-6,-6
1952,Mexico,Aleman Valdes,0,-6,-6
1963,Myanmar (Burma),Ne Win,0,3.333333333,-7
1962,Nepal,Mahendra,0,-6,-9
2001,Nepal,Birendra,1,5.666666667,-6
1954,Nicaragua,Anastasio Somoza Garcia,0,-8,-8
1956,Nicaragua,Anastasio Somoza Garcia,1,-8,-8
1959,Nicaragua,Luis Somoza Debayle,0,-8,-8
1965,Niger,Diori,0,-7,-7
1987,Netherlands,Lubbers,0,10,10
1966,Oman,Sa`id ibn Taimur,0,-10,-10
1951,Pakistan,L. Khan,1,3.333333333,5
1968,Pakistan,Ayub Khan,0,1,0.333333333
1988,Pakistan,Zia,1,-4,8
1999,Pakistan,Sharif,0,7.333333333,-5.666666667
1955,Panama,Remon Cantero,1,-1,4
1908,Peru,Pardo y Barreda,0,2,2
1932,Peru,Sanchez Cerro,0,-6,2
1933,Peru,Sanchez Cerro,1,-3,2
1933,Peru,Benavidez,0,-3,2
1986,Peru,Garcia Perez,0,7,7
1922,Poland,Narutowicz,1,8,8
1924,Poland,Wojciechowski,0,8,0.666666667
1893,Portugal,Carlos I,0,-4,-4
1896,Portugal,Carlos I,0,-4,-4
1908,Portugal,Carlos I,1,-4.333333333,4.666666667
1918,Portugal,Paes,1,7,7
1937,Portugal,Salazar,0,-9,-9
1952,Korea South,Rhee,0,-3,-4
1968,Korea South,Hee Park,0,3,3
1974,Korea South,Hee Park,0,-4.666666667,-8
1979,Korea South,Hee Park,1,-8,-6
1983,Korea South,Chun Doo Hwan,0,-6,-5
1878,Russia,Alexander II,0,-10,-10
1879,Russia,Alexander II,0,-10,-10
1880,Russia,Alexander II,0,-10,-10
1881,Russia,Alexander II,1,-10,-10
1886,Russia,Alexander III,0,-10,-10
1888,Russia,Alexander III,0,-10,-10
1889,Russia,Alexander III,0,-10,-10
1904,Russia,Nicholas II,0,-10,-6.666666667
1914,Russia,Nicholas II,0,-6,-4.333333333
1918,Russia,Lenin,0,-4.333333333,-1
1962,Vietnam South,Ngo Dinh Diem,0,-3,-3
1994,Rwanda,Habyarimana,1,-6.666666667,-6
1960,South Africa,Verwoerd,0,4,4
1966,South Africa,Verwoerd,1,4,4
1913,El Salvador,Araujo,1,-6,-6
1935,Saudi Arabia,Aziz,0,-10,-10
1975,Saudi Arabia,Faisal,1,-10,-10
1967,Senegal,Senghor,0,-7,-7
1969,Somalia,Shermarke,1,7,-7
1897,Spain,del Castillo,1,4.333333333,4.666666667
1904,Spain,Maura y Montaner,0,6,6
1912,Spain,Canalejas y Mendez,1,6,6
1921,Spain,Dato y Iradier,1,6,-2.666666667
1926,Spain,de Rivera,0,-6.666666667,-6
1959,Sri Lanka,"Bandaranaike, S.W.R.D.",1,7,7
1987,Sri Lanka,Jayewardene,0,5,5
1993,Sri Lanka,Premadasa,1,5,5
1999,Sri Lanka,Kumaratunga,0,5,5.666666667
1970,Sudan,Nimeiri,0,5.333333333,-7
1986,Sweden,Palme,1,10,10
1973,Syria,Al-Assad H.,0,-9,-9
1980,Syria,Al-Assad H.,0,-9,-9
1963,Togo,Olympio,1,-6,-6
1967,Togo,Eyadema,0,-6,-7
1905,Turkey,Hamid II,0,-10,-8
1906,Turkey,Hamid II,0,-10,-5
1964,Turkey,Inonu,0,9,8
1975,Turkey,Demirel,0,5.333333333,9
1988,Turkey,Ozal,0,7,9
1969,Uganda,Obote,0,-4,-7
1975,Uganda,Amin,0,-7,-7
1976,Uganda,Amin,0,-7,-7
1977,Uganda,Amin,0,-7,-2
1984,United Kingdom,Thatcher,0,10,10
1886,Uruguay,Maximo Santos,0,-3,-3
1897,Uruguay,Juan Idiarte Borda,1,-3,-3
1897,Uruguay,Juan Lindolfo Cuestas,0,-3,-3
1918,Uruguay,Feliciano Viera,0,2,3
1935,Uruguay,Terra,0,2,0
1881,United States,Garfield,1,10,10
1901,United States,McKinley,1,10,10
1933,United States,"Roosevelt, F.",0,10,10
1950,United States,Truman,0,10,10
1963,United States,Kennedy,1,10,10
1972,United States,Nixon,0,10,10
1975,United States,Ford,0,10,10
1981,United States,Reagan,0,10,10
1999,Uzbekistan,Karimov,0,-9,-9
1900,Venezuela,Cipriano Castro,0,-3,-3
1931,Venezuela,Gomez,0,-9,-9
1950,Venezuela,Delgado Chalbaud,1,-3,-3
1960,Venezuela,Betancourt,0,3,6
1961,Yemen North,Ibn Yahya Hamid,0,-6,0
1968,Yemen North,Al-Iryani,0,-2,-3
1977,Yemen North,Al-Hamadi,1,-4,-6
1977,Yemen North,Al-Ghashmi,0,-4,-6
1978,Yemen North,Al-Ghashmi,1,-4.666666667,-6
1934,Yugoslavia,Alexander,1,-10,-7.666666667